Number, Wins, For, Against
0, 0, 4260, 5887
1, 0, 4543, 5735
2, 0, 4260, 5887
3, 49, 2465, 3330
4, 45, 955, 1617
5, 20, 3083, 4421
6, 0, 7, 503
7, 0, 4804, 5272
8, 43, 965, 1651
9, 124, 5799, 5752
10, 0, 793, 1439
11, 34, 2581, 3774
12, 97, 3497, 2164
13, 0, 4475, 7188
14, 55, 1629, 1680
15, 0, 278, 1563
16, 223, 10691, 8967
17, 0, 2368, 4262
18, 7, 2121, 3519
19, 0, 610, 2754
20, 39, 2798, 4526
21, 0, 561, 3758
22, 19, 3968, 6126
23, 0, 1398, 4678
24, 6, 2129, 2875
25, 120, 3080, 2810
26, 79, 6511, 6108
27, 0, 1344, 3157
28, 168, 9786, 6513
29, 176, 1384, 1160
30, 38, 1169, 1488
31, 0, 67, 1402
32, 57, 5328, 6351
33, 128, 3140, 2727
34, 166, 13565, 9599
35, 88, 959, 1054
36, 24, 3492, 4381
37, 12, 1966, 4101
38, 20, 4033, 5017
39, 0, 1364, 3320
40, 41, 3828, 4532
41, 142, 8480, 7299
42, 0, 3338, 6284
43, 65, 6231, 8679
44, 0, 4350, 5891
45, 168, 9636, 6616
46, 105, 1956, 912
47, 99, 1657, 2003
48, 0, 440, 1330
49, 113, 698, 625
50, 97, 4720, 3414
51, 147, 7606, 6145
52, 1, 797, 1580
53, 197, 12951, 6551
54, 104, 1911, 933
55, 192, 12043, 6355
56, 0, 741, 1762
57, 0, 731, 3472
58, 62, 2834, 4119
59, 31, 2430, 3917
60, 57, 5537, 7643
61, 0, 808, 2259
62, 98, 854, 601
63, 43, 2339, 3024
64, 138, 8273, 5699
65, 0, 1507, 4757
66, 144, 7164, 6468
67, 45, 3557, 4308
68, 0, 2864, 3513
69, 0, 6300, 7094
70, 140, 2497, 1254
71, 222, 4430, 2363
72, 16, 2598, 3031
73, 15, 834, 2160
74, 0, 2968, 4067
75, 158, 9712, 5184
76, 87, 739, 838
77, 76, 376, 463
78, 0, 1040, 1380
79, 116, 1120, 1028
80, 0, 1482, 1982
81, 130, 1543, 1434
82, 96, 5440, 5344
83, 83, 2469, 5007
84, 44, 2061, 3445
85, 16, 5972, 6758
86, 46, 2531, 4759
87, 5, 5228, 6057
88, 86, 5090, 5700
89, 14, 743, 1658
90, 9, 948, 1572
91, 3, 1600, 3752
92, 49, 864, 1285
